City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,atafu village,-8.5421,-172.5159,301.34,74,71,2.76,TK,1722894668
84,antonio enes,-16.2325,39.9086,294.22,85,2,3.22,MZ,1722894669
85,anadyr,64.75,177.4833,277.43,86,75,5.0,RU,1722894671
86,vegreville,53.5001,-112.0518,288.45,98,100,4.12,CA,1722894672
87,darhan,49.4867,105.9228,288.49,89,100,1.02,MN,1722894673
88,ilulissat,69.2167,-51.1,282.16,81,20,2.57,GL,1722894674
89,grytviken,-54.2811,-36.5092,263.66,77,100,5.51,GS,1722894675
90,kittila,67.6647,24.8936,286.23,88,0,1.03,FI,1722894678
91,acarau,-2.8856,-40.12,298.57,76,99,7.99,BR,1722894679
92,suva,-18.1416,178.4415,296.86,69,40,4.12,FJ,1722894680
93,fale old settlement,-9.3852,-171.2468,300.97,76,100,5.02,TK,1722894682
94,port mathurin,-19.6833,63.4167,295.55,77,13,7.53,MU,1722894683
95,rio grande,-32.035,-52.0986,291.21,94,64,6.04,BR,1722894684
96,purranque,-40.9167,-73.1667,281.78,96,100,2.69,CL,1722894685
97,mount isa,-20.7333,139.5,289.02,63,75,3.09,AU,1722894686
98,coquimbo,-29.9533,-71.3436,288.0,57,0,5.14,CL,1722894651
99,lalibela,12.0333,39.0333,286.99,96,100,0.6,ET,1722894688
100,naryn,41.4287,75.9911,284.58,70,5,2.1,KG,1722894690
101,hammerfest,70.6634,23.6821,289.96,57,8,3.78,NO,1722894691
102,lormi,22.2833,81.7333,298.61,91,100,1.53,IN,1722894692
103,toyooka,35.5333,134.8333,300.25,84,5,0.6,JP,1722894693
104,sitka,57.0531,-135.33,293.09,68,20,2.06,US,1722894694
105,tralee,52.2704,-9.7026,284.3,93,0,2.32,IE,1722894695
106,nova xavantina,-14.6667,-52.35,298.52,28,0,1.22,BR,1722894696
107,blenheim,-41.516,173.9528,280.66,75,0,2.24,NZ,1722894697
108,isangel,-19.55,169.2667,295.21,73,75,0.0,VU,1722894698
109,king city,36.2127,-121.126,313.1,12,16,4.16,US,1722894699
110,egilsstadir,65.2653,-14.3948,283.1,93,75,3.6,IS,1722894700
111,galveston,29.3669,-94.9669,308.72,63,0,4.12,US,1722894701
112,flying fish cove,-10.4217,105.6791,296.97,88,100,5.66,CX,1722894702
113,naze,28.3667,129.4833,301.66,85,34,3.44,JP,1722894703
114,la'ie,21.6477,-157.9253,303.13,73,91,2.68,US,1722894704
115,port macquarie,-31.4333,152.9167,285.41,96,100,1.34,AU,1722894705
116,vilyuchinsk,52.9306,158.4028,287.3,78,100,0.71,RU,1722894706
117,akjoujt,19.6969,-14.4164,305.15,48,97,8.33,MR,1722894708
118,ghat,24.9647,10.1728,305.43,16,0,4.59,LY,1722894709
119,la passe,45.5549,-0.8967,295.28,90,0,4.03,FR,1722894710
120,bilibino,68.0546,166.4372,276.87,61,92,1.14,RU,1722894711
121,ondjiva,-17.0667,15.7333,291.17,15,0,0.0,AO,1722894712
122,swakopmund,-22.6833,14.5333,285.36,83,0,2.59,NA,1722894713
123,tabou,4.423,-7.3528,297.22,86,100,3.47,CI,1722894715
124,sambava,-14.2667,50.1667,292.87,90,63,3.25,MG,1722894716
125,benguela,-12.5763,13.4055,293.86,85,100,1.58,AO,1722894717
126,kodiak,57.79,-152.4072,285.88,100,100,2.06,US,1722894718
127,puerto ayora,-0.7393,-90.3518,298.13,80,60,4.57,EC,1722894721
128,ushuaia,-54.8,-68.3,271.96,69,0,1.03,AR,1722894701
129,nova sintra,14.8667,-24.7167,299.85,81,49,2.34,CV,1722894723
130,camabatela,-8.1881,15.375,289.71,79,19,2.97,AO,1722894724
131,omutinskiy,56.4745,67.6709,288.62,96,100,2.96,RU,1722894725
132,constantia,44.1833,28.65,293.54,63,45,5.06,RO,1722894726
133,mata-utu,-13.2816,-176.1745,299.71,75,6,3.73,WF,1722894727
134,beroroha,-21.6667,45.1667,288.92,50,0,0.77,MG,1722894728
135,cabo san lucas,22.8909,-109.9124,306.76,53,0,4.12,MX,1722894558
136,lebu,-37.6167,-73.65,281.44,84,46,3.97,CL,1722894730
137,barguzin,53.6167,109.6167,287.44,81,0,0.24,RU,1722894731
138,talcahuano,-36.7167,-73.1167,283.97,71,75,3.6,CL,1722894609
139,avarua,-21.2078,-159.775,299.18,78,75,5.66,CK,1722894734
140,invercargill,-46.4,168.35,281.49,78,71,4.47,NZ,1722894462
141,prineville,44.2999,-120.8345,308.21,22,0,2.57,US,1722894736
142,kharp,66.8014,65.8081,278.0,79,1,1.96,RU,1722894737
143,vorgashor,67.5833,63.95,277.79,76,8,2.58,RU,1722894738
144,ha tien,10.3833,104.4833,299.89,84,64,4.78,VN,1722894739
